"","1","2","3","4","5","6","7","8","9","10"
"forces",4,0,0,0,1,3,0,0,0,1
"forth",1,0,0,0,0,0,0,0,0,0
"fourth",1,0,0,0,0,0,0,0,1,0
"francisco",1,0,0,0,0,0,0,0,0,0
"free",1,0,0,0,0,2,0,0,0,1
"from",6,2,2,9,2,12,7,1,5,16
"games",1,0,0,0,1,0,0,1,1,0
"garden",1,0,0,0,1,0,0,1,1,0
"giant",1,0,0,0,0,0,0,0,0,0
"give",1,0,0,0,0,1,0,0,1,0
"global",3,0,2,0,3,0,0,3,3,1
"go.",1,0,0,0,0,0,0,0,0,0
"going",1,0,0,0,4,4,0,0,0,3
"golf",1,0,0,0,1,2,2,1,1,2
"gonzlez,",1,0,0,0,0,0,0,0,2,0
"government",1,0,0,6,1,6,1,0,2,2
"governments,",1,0,0,1,0,0,0,0,0,0
"graffiti",1,0,0,0,0,0,0,0,0,0
"greatest",1,0,0,0,0,1,0,0,0,0
"group",1,0,0,0,0,0,0,0,0,1
"grow",1,0,0,0,0,0,0,0,0,0
"guaid",7,0,0,0,10,0,3,2,6,0
"guardian",7,0,0,0,7,0,0,7,7,0
"had",4,0,0,1,0,1,0,0,4,1
"hats",1,0,0,0,0,0,0,0,0,0
"have",14,3,0,11,2,7,6,0,3,7
"hawkers",1,0,0,0,0,0,0,0,0,0
"health",1,0,0,2,1,1,1,1,1,1
"help",1,0,0,0,1,0,0,1,1,0
"her",3,0,0,0,0,0,0,0,0,0
"him",1,0,0,2,2,2,1,0,3,2
"him,",1,0,0,1,0,0,0,0,1,0
"him.",1,0,0,0,0,1,0,0,1,1
"his",3,0,0,5,4,13,1,0,9,4
"holidays",2,0,0,0,2,0,0,2,2,0
"home",2,0,1,0,2,2,2,2,2,2
"homemade",1,0,0,0,0,0,0,0,0,0
"hoodies",1,0,0,0,0,0,0,0,0,0
"hope",1,0,0,0,0,0,0,0,0,0
"hoped",1,0,0,0,0,0,0,0,0,0
"hot]",1,0,0,0,0,0,0,0,0,0
"how",1,0,0,2,0,2,3,0,0,2
"hugo",1,0,0,0,1,4,0,0,4,0
"humanitarian",2,1,0,0,1,3,0,0,0,0
"humanitarian!",1,0,0,0,0,0,0,0,0,0
"hunger,",1,0,0,0,0,0,0,0,0,0
"hungry,",1,0,0,0,0,0,0,0,0,0
"husband,",1,0,0,0,0,0,0,0,0,0
"image",1,0,0,0,0,0,0,0,0,0
"images",2,0,0,0,1,0,0,0,0,0
"imperialist",1,0,0,0,0,1,0,0,1,0
"in.",1,0,0,0,0,0,0,0,0,0
"including",1,0,0,3,1,1,3,0,2,0
"inequality",2,0,0,0,2,0,0,2,2,0
